TUESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
A-8 Academic Block II (53),"Reserved for Ms Tahira
Iftikhar Nov 18 PPIT","COAL BCS-3B
 Atiya Jokhio ","PPIT BCS-7J        
Syed Muhammad Saad (VF)","BE BSBA-5A
Dr. Mushtaq Ahmed","HRM BSBA-5A 
 Dr. Nazia Nazeer ",,"HRM BSBA-5A 
Dr. Nazia Nazeer ","Enter BAI-7A
Umer Farooq","CB BSBA-5A
Umer Farooq"
B-9 Academic Block II (53),"ME BSFT-3A
Michael Simon","BM2 BSFT-3A
Muhammad Amjad","IOOP BSFT-3A
Nida Munawar","PPIT BCY-7B
Rabia Ali Khan (VF)","PF BCS-1B
Sobia Iftikhar","BM2 BSFT-3C
Muhammad Amjad","Discrete BCS-3K
Aemon (VF)","Discrete BCS-3K
Aemon (VF)",
B-10 Academic Block II (53),"CCE BSFT-3C
Dr. Wajiha Raheeq","ME BSFT-3C
Museara Bhutto","BM2 BSFT-3B
Muhammad Amjad","IOOP BSFT-3B
Nida Munawar","CCE BSFT-3A
Dr. Wajiha Raheeq","CCE BSFT-3B
Dr. Wajiha Raheeq",,"BF BSFT-3B
Zehra",
B-11 Academic Block II (53),"ME BSFT-3B
Dr. Mushtaq Ahmed","Psych BSFT-3B
Aqsa Fayyaz","Psych BSFT-3C
Faiza Iqbal","PPIT BCS-7K
Syed Muhammad Saad (VF)","DS BCS-3H
Fizza Aqeel","Psych BSFT-3A
Aqsa Fayyaz","IOOP BSFT-3A
Nida Munawar","DS BCS-3B
Fizza Aqeel",
C-12 Academic Block II (50),OHS BSEE-1A Engr. Aqib Noor,EDC BSEE-3A Engr. Muhammad Ahsan Khan,EDC BSEE-3B Engr. Muhammad Ahsan Khan,,EDC BSEE-3C Engr. Muhammad Ahsan Khan,"CVT BSEE-3A 
Dr. Haider Mehdi","MFM BSBA-7A
 Dr. Mohsin Ali ","MFM BSBA-7A
 Dr. Mohsin Ali ",
C-13 Academic Block II (50),ENA BSEE-3A Dr. Junaid Rabbani,ENA BSEE-3B Dr. Junaid Rabbani,AC BSCE-1B + BSEE-1C Engr. Qurat ul Ain,AC BSCE-1B + BSEE-1C Engr. Qurat ul Ain,Applied Physics BSCE-1A Engr. Zakir Hussain,ICT BSEE-1B Engr. Asim Mehmood,ICT BSEE-1B Engr. Asim Mehmood,,
C-14 Academic Block II (50),Applied Physics BSCE-1B + BSEE-1C Engr. Maham Ghouri,ICT BSEE-1A Engr. Asim Mehmood,ICT BSEE-1A Engr. Asim Mehmood,"RS BCS-5B (F-J)
Dr. Farrukh Shahid","RS BCS-5B (F-J)
Dr. Farrukh Shahid",ICP BSCE-1B + BSEE-1C Dr. Shahnawaz,ICP BSCE-1B + BSEE-1C Dr. Shahnawaz,"PF BCS-1A
Sobia Iftikhar",
C-15 Academic Block II (50),ENG BSCE-1A Ms. Maimoona,"CAL BCY-1A
Jamil Usmani","NC BCS-7A
Jamil Usmani","ADC BSEE-5AB 
Dr. Atif Saleem","ADC BSEE-5AB 
Dr. Atif Saleem",MVC BSEE-3B Dr. Atif Saleem,Applied Physics BSEE-1A Engr. Maham Ghouri,Applied Physics BSEE-1B Engr. Maham Ghouri,
C-16 Academic Block II (50),"DAA BCS-5G
Zulfiqar Ali","ST BCS-7A
Alina Arshad","LA BCS-3A
Dr. Fahad Riaz","ME  BSBA-3A
Michael Simon","Socio BCS-3D  (K)
Kauser Malik ","SCD BSE-5A
Ali Fatmi","CT BSBA-3A
Faiza Iqbal ",,
C-17 Academic Block II (59),"DS BCS-3G
Sania Urooj","Discrete BCS-3C
Dr. Nouman Durrani","SSD BCY-7A
Abuzar Zafar","PF BCS-1K
Uzma Raza (VF)","LA BAI-3A
Uzma Saleh",,"LA BDS-3B
 Mairaj Ahmed",,"TOA BCS-3C
Kashan Hussain "
C-18 Academic Block II (50),"Discrete BSE-3A
Hira Tunio","DS BCS-3D
Farrukh Hasan Syed","SSD BCY-7B
Abeer Gauher","PPIT BCS-7E
Yusra Kaleem","Discrete BSE-3B
Aemon (VF)",,"ICP BCS-1H
Muhammad Adeel",,
C-19 Academic Block II (50),"DS BCS-3J        
Mubashra Fayyaz ","DS BDS-3B
 Farooq Zaidi","ML BAI-5A
Sania Urooj","TBW BAI-5A
Nazia Imam","Cyber Security BCY-3A
Abeer Gauher","COAL BCY-3A
Waseem Rauf",,"COAL BCS-3D
Waseem Rauf ","Discrete BCS-3E
Bakhtawar Abbasi"
C-21 Academic Block II (50),"Discrete BAI-3A
Mahrukh Khan","COAL BCS-3G
Dr. Shakil","LA BCS-3G
Uzma Saleh","IST BCS-1C
Uzair Siddiqui (VF)","TOA BCS-3J        
Muhammad Kashif",,"COAL BDS-3A
Dr. Muhammad Adeel","COAL BDS-3A
Dr. Muhammad Adeel","TOA BCS-3D
Muhammad Kashif"
