FRIDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
C-17 Academic Block II (59),"BM1 BSFT-1D
Ashad Ali","TOA BCS-3D
Muhammad Kashif","TOA BCS-3J	
Muhammad Kashif","NC BCS-7A
Jamil Usmani","NC BCS-7A
Jamil Usmani","LA BSE-3A
Nadeem Khan","MVC BCS-3A
 Mairaj Ahmed","LA BDS-3B
 Mairaj Ahmed ","LA BDS-3B
 Mairaj Ahmed"
C-18 Academic Block II (50),"LA BCS-3B
Urooj","LA BCS-3F
Urooj","LA BCS-3A
Dr. Fahad Riaz","LA BDS-3A
Nadeem Khan","FE BCY-1B
Mariam Aftab ",,,"LA BAI-3A
Uzma Saleh",
C-19 Academic Block II (50),"LA BCS-3G
Uzma Saleh","LA BCS-3J
Uzma Saleh",,,,,,,
C-21 Academic Block II (50),"COAL BAI-3A
Ubaidullah",,,"TOA BCS-3C
Kashan Hussain ","POE BSE-3A (A,B+CY)
Museara Bhutto",,"LA BCS-3H
Abdul Basit (VF)","LA BCS-3K
Abdul Basit (VF)","LA BCS-3K
Abdul Basit (VF)"
D-22 Academic Block II (50),"Psych BCS-3C (D,E)
Aqsa Fayyaz","LA BSE-3B
Nadeem Khan",,"LA BCS-3D
Urooj","LA BCS-3D
Urooj",,,,
D-23 Academic Block II (50),"Reserved for Mr Muhammad Adeel
BSCS 1-F Nov 21 ","COAL BCY-3A
Waseem Rauf","Reserved for Mr Muhammad 
Adeel BSCS 1-F Nov 21 ","LA BCS-3E
Uzma Saleh","FOA BSE-3A (A,B+ CY)
Jahangir",,Reserved for FYP - I and FYP - II Midterm Defense Evaluation 21 Nov,,
D-24 Academic Block II (50),"Socio BCS-3B (D,E,F)
Kauser Malik",ICP BSEE-1A Dr. Shahnawaz,,"LA BCY-3A
Dr. Fahad Riaz","FOM BSE-3A (A,B+CY)
Aleena Fayyaz",,,,
D-25 Academic Block II (50),,"MM BSFT-1C
 Aleena  Fayyaz ","FE BAI-1A
Nazia Imam","MM BSFT-1B
 Asiya Zaheer","FE BAI-1C
Nazia Imam",,,,
D-26 Academic Block II (50),"FE BCS-1A
Khadija Shireen","CAL BCS-1A
Aneesa Nawaz","ICP BCS-1A
Khushboo","FE BCS-1C
Faiza Mumtaz","CAL BCS-1K
Asma Masood","ICP BCS-1C
Khushboo",,"CAL BCS-1C
Aneesa Nawaz",
D-27 Academic Block II (50),"PF BCS-1C
Abeeha Sattar","PF BCS-1F
Saif ur Rehman","AP BCS-1F
Ishtiaq Ahmed","CAL BCS-1F
Asma Masood","PF BCS-1D
Hajra Ahmed","AP BCS-1D
Ishtiaq Ahmed",,"AP BSE-1A
Miqdad Khan","AP BSE-1B
Miqdad Khan"
D-28 Academic Block II (50),,"CAL BCY-1A
Jamil Usmani","CAL BCS-1E
Shahid Ashraf",,"AP BCS-1E
Muhammad Rahim","PF BCS-1E
Javeria Farooq","CAL BCS-1J
Asma Masood","AP BCS-1K
Rameez","AP BCS-1J
Rameez"
E-29Academic Block II (52),"PF BCS-1G
Saif ur Rehman","CAL BCS-1G
Syed Ashad Ali","AP BCS-1C
Muhammad Rahim","ICP BAI-1C
Ibrahim Farooqi (VF)","ICP BCS-1G
Khushboo","IST BCS-1F
Farhan Ali Memon",,"FE BCS-1F
Qurat ul Ain",
E-30 Academic Block II (52),"CAL BCS-1H
Asma Masood","FE BCS-1E
Javeriya Ahmed","PF BCS-1H
Syed Ahmed Khan","AP BCS-1H
Ishtiaq Ahmed","IST BCS-1H
Farhan Ali Memon","CAL BCY-1B
Aneesa Nawaz",,,
E-31 Academic Block II (52),,"PF BCS-1J
Syed Ahmed Khan","FE BCS-1J
Qurat ul Ain","IST BCY-1B
 Imad Uddin",,"FE BAI-1B
Nazia Imam",Reserved for FYP - I and FYP - II Midterm Defense Evaluation 21 Nov,,
E-32 Academic Block II (52),"ICP BAI-1A
Ibrahim Farooqi (VF)","CAL BAI-1A
Alishba Tariq","ICP BAI-1B
Ibrahim Farooqi (VF)",,,"CAL BAI-1C
Alishba Tariq",,,
E-33 Academic Block II (52),"IST BCY-1A
 Imad Uddin","FE BCY-1B
Mariam Aftab ","FE BCY-1A
Mariam Aftab","AP BDS-1A
Miqdad Khan ","CAL BSE-1A
Syed Ashad Ali","FE BSE-1A
Wajiha Akber ","FE BSE-1B
Wajiha Akber ","AP BCS-1A
Muhammad Rahim",
E-34 Academic Block II (52),"CAL BAI-1B
Alishba Tariq","PAI BAI-3A
Talha Shahid",,,"CAL BSE-1B
 Rabia Sagheer",,,,
E-35 Academic Block II (52),"ICP BDS-1A
Aliya Zahid Bhatti (VF)","ICP BDS-1A
Aliya Zahid Bhatti (VF)",,"CAL BCS-1B
Shahid Ashraf","CAL BCS-1B
Shahid Ashraf","PF BCY-1A
Abuzar Zafar",,,
LLC Academic Block I (R7) (50),,,,,,,,,
C-20 Academic Block II (50),CA BSEE-7AB                                          Dr. Tayyab,CA BSEE-7AB                                          Dr. Tayyab,CA BSEE-7AB                                          Dr. Tayyab,,,,"Eng-1 Lab BSFT-1B
 Faiza Mumtaz",,
Eng Lang Room Academic Block II (50),,,,Reserved for ACM Coders Cup 2025 Nov 21,,,,,
S-2 Academic Block I (100),Reserved for Remid Exam Nov 21,,,,,,,,
COMPUTING LABS,,,,,,,,,
Academic Block I LAB-1 (49),"ICT Lab BSE-1A
Fatima Gado",,,"DS Lab BCS-3G
Abdullah Yaqoob",,,,,
Academic Block I CY LAB-2 (48),"COAL Lab BDS-3A	
Jahanzaib",,,Reserved for ACM Coders Cup 2025 Nov 21,,,,,
Academic Block I LAB-3 (47),"DS&BA Lab BSBA-5A
Muhammad Qasim Keeryo",,,"COAL Lab BDS-3B
Muhammad Qasim Keeryo",,,,,
Academic Block I LAB-4 (46),,,,Reserved for ACM Coders Cup 2025 Nov  21,,,,,
Academic Block III LAB-5 (52),"IT in Business lab BSFT-1E
 Danish Abbasi",,,"DS Lab BCS-3F
Shafiqure Rehman",,,"FA Lab  BSFT-3A
 Nighat Jahan",,
