THURSDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
C-12 Academic Block II (50),DCNet BSEE-5A                                       Engr. Zakir Hussain,EDC BSEE-3C Engr. Muhammad Ahsan Khan,EDC BSEE-3B                                                 Engr. Muhammad Ahsan Khan,AC BSEE-1B Engr. Aamir Ali,EDC BSEE-3A                                                 Engr. Muhammad Ahsan Khan,,,UoS BSEE-1B                                                 Dr. Hassan Saeed,
C-13 Academic Block II (50),IST BSEE-1A                                                 Dr. Hassan Saeed,IST BSEE-1A                                                 Dr. Hassan Saeed,AC BSEE-1A                                                 Engr. Qurat ul Ain,AC BSCE-1A                                                 Engr. Qurat ul Ain,OHS BSEE-1B                                                 Engr. Aqib Noor,ICP BSEE-1A Dr. Shahnawaz,,Applied Physics BSCE-1A Engr. Zakir Hussain,
C-14 Academic Block II (50),Applied Physics BSCE-1B + BSEE-1C                                                 Engr. Maham Ghouri,AT BSEE-5AB                                                 Engr. Rukhsar Ali,"DBS BCS-5C
Atiya Jokhio","DBS BCY-5A
Atiya Jokhio","CV BAI-7B
Bilal Ahsan",Applied Physics BSEE-1B                                                 Engr. Maham Ghouri,Applied Physics BSEE-1A                                                 Engr. Maham Ghouri,,
C-15 Academic Block II (50),TBW BSEE-7AB                                                 Ms. Nazia Imam,TBW BSEE-7AB                                                 Ms. Nazia Imam,OODS BSEE-3A                                                 Dr. Burhan Khan,OODS BSEE-3A                                                 Dr. Burhan Khan,,,,CVT BSEE-3B                                                Dr. Haider Mehdi,CVT BSEE-3B                                                Dr. Haider Mehdi
C-16 Academic Block II (50),"DBS BCS-5D
Shaikh Umair (Visiting)","SDA BCS-5A
Engr. Abdul Rahman","DBS BCS-5A
Hajra Ahmed","CN BCS-5A
Dr. Farrukh Salim","SDA BCS-5D
Syed Ahmed Khan","DBS BCS-5F
Hajra Ahmed",,,
C-17 Academic Block II (59),"DF BCY-5B
Dr. Shahbaz Siddiqui","CN BCS-5B
Dr. Ghufran Ahmed","OOP BCS-3B
Sarah Ahmed","OOP BCS-3B
Sarah Ahmed",,"PF BCS-1B
Sobia Iftikhar",,"MVC BCS-3A
 Mairaj Ahmed","MVC BCS-3A
 Mairaj Ahmed"
C-18 Academic Block II (50),,"CN BCS-5J        
Kashan Hussain","DAA BCY-5B
Zulfiqar Ali","DBS BCY-5B
Ali Naseer Shah",,"CAL BCY-1A
Jamil Usmani","DAA BCS-5H
Sandesh Kumar","CAL BDS-1A
Jamil Usmani",
C-19 Academic Block II (50),,"SDA BCS-5F
Syed Ahmed Khan","DBS BCS-5D
Shaikh Umair (Visiting)","CN BCS-5D
Shaheer Khan","CN BCS-5G
Dr. Ghufran Ahmed","DBS BCS-5H
Javeria Farooq",,"GT BCS-5C
Moheez-UR-Rahim","GT BCS-5C
Moheez-UR-Rahim"
C-21 Academic Block II (50),"CN BCS-5F
Shaheer Khan","DAA BCS-5G
Zulfiqar Ali","SDA BCS-5G
Sobia Iftikhar","SDA BCS-5C
Shaikh Umair (Visiting)","DAA BAI-5A
Dr. Kamran","TBW BAI-5A
Nazia Imam","DBS BCS-5G
Dr. Farrukh Salim",,
D-22 Academic Block II (50),,OHS BSCE-1B + BSEE-1C                                                 Engr. Aqib Noor,OHS BSCE-1A                                                 Engr. Aqib Noor,"DAB2 BSBA-3A
Dr. Anwar Mughees","Entrep BSBA-7A 
Asiya Zaheer ",,,"AP BCS-1A
Muhammad Rahim","CAL BCS-1A
Aneesa Nawaz"
D-23 Academic Block II (50),,"DF BCY-5A
Dr. Shahbaz Siddiqui","DAA BCY-5A
Dr. Kamran","SDA BCS-5E
Farrukh Hasan Syed","SDA BCS-5E
Farrukh Hasan Syed","IS BCY-5B
Nouman Rajput",,,"CAL BCS-1H
Asma Masood"
D-24 Academic Block II (50),,"PF BCS-1E
Javeria Farooq","DBS BCS-5B
Javeria Farooq",,"DAA BCS-5F
Sandesh Kumar",,,"CAL BCS-1C
Aneesa Nawaz",
D-25 Academic Block II (50),,"PF BCS-1A
Sobia Iftikhar","PST BSBA-7A
 Dr. Shahnawaz  ","PST BSBA-7A
Dr. Shahnawaz","FE BCS-1D
Javeriya Ahmed",,,"AP BCS-1F
Ishtiaq Ahmed",
D-26 Academic Block II (50),,"AP BCS-1B
Ishtiaq Ahmed","Reserved for Ms Saeeda 
Kanwal NLP BAI-7B Nov 20 + 27",,"CAL BCS-1E
Shahid Ashraf",,"FE BCS-1G
Javeria Ali Wadho","FE BCS-1G
Javeria Ali Wadho",
D-27 Academic Block II (50),"PF BCS-1H
Syed Ahmed Khan","ICP BCS-1H
Muhammad Adeel","ICP BCS-1B
Muhammad Adeel",,"PF BCS-1K
Uzma Raza (VF)","PF BCY-1B
Uzma Raza (VF)",,"AP BCS-1J
Rameez",
D-28 Academic Block II (50),,"PF BCS-1D
Hajra Ahmed",,,"CAL BCS-1J
Asma Masood",,"AP BCS-1J
Rameez",,
E-29Academic Block II (52),"EIS  BSFT-5A
Dr. Anwar Mughees","EIS  BSFT-5A
Dr. Anwar Mughees","Macro Eco BSFT-5A
Michael Simon",,"PF BAI-1A
Talha Shahid","IST BAI-1B
Abdullah Siddqui","IST BAI-1A
Abdullah Siddqui","FE BAI-1B
Nazia Imam",
E-30 Academic Block II (52),"ICP BCS-1F
Muhammad Adeel","IST BCS-1F
Farhan Ali Memon",,"IST BCS-1E
Dr. Hassan Saeed",,"PF BDS-1A
Talha Shahid",,,"IST BAI-1C
Abdullah Siddqui"
E-31 Academic Block II (52),,"AP BCS-1G
Muhammad Rahim","CAL BCS-1D
Shahid Ashraf","CAL BCS-1D
Shahid Ashraf","FE BDS-1A
Wajiha Akber",,,"IST BSE-1A
 Imad Uddin",
E-32 Academic Block II (52),"AP BCS-1K
Rameez","AP BCS-1K
Rameez",,"IST BCS-1C
Uzair Siddiqui (VF)","AP BAI-1B
Sana","AP BAI-1A
Sana","AP BCS-1H
Ishtiaq Ahmed","PF BSE-1B
Fizza Mansoor",
E-33 Academic Block II (52),,"IS BCS-7L
Usama Antuley",,"CAL BSE-1B
 Rabia Sagheer","IST BCS-1B
Farhan Ali Memon","PF BCS-1C
Abeeha Sattar",,"AP BAI-1C
Sana",
E-34 Academic Block II (52),,"PF BSE-1A
Fizza Mansoor","AP BCS-1E
Muhammad Rahim","PF BCS-1K
Uzma Raza (VF)","ICP BCY-1A
Wajiha Najam (VF)","ICP BSE-1B
Wajiha Najam (VF)","IST BSE-1B
 Imad Uddin",,"IST BDS-1A
 Imad Uddin"
E-35 Academic Block II (52),,"FE BSE-1B
Wajiha Akber ","ICP BSE-1A
Wajiha Najam (VF)","CAL BSE-1A
Syed Ashad Ali","CAL BCY-1B
Aneesa Nawaz",,"PF BSE-1A
Fizza Mansoor",,
LLC Academic Block I (R7) (50),"FE Lab BDS-1A
Javeria Ali Wadho",,,Reserved for FES Ignite Nov 27,,,,,
C-20 Academic Block II (50),"FE Lab BCS-1J
Tahira Abdul Hakeem",,,"FE Lab BCS-1H
Huma Hafeez",,,"FE Lab BCS-1D
Wajiha Akber",,
Eng Lang Room Academic Block II (50),"Eng-1 Lab BSFT-1C
 Faiza Mumtaz",,,"FE Lab BCS-1A
Mariam Aftab",,,"FE Lab BCS-1E
Javeriya Ahmed",,
S-2 Academic Block I (100),,"IS BCS-7H
Dr. Aqsa Aslam",Reserved for ReMid II Exam Nov 20 + Reserved for FES Ignite Nov 27 ,,,,,,
COMPUTING LABS,,,,,,,,,
Academic Block I LAB-1 (49),"CN Lab BCS-5E
Ramsha Iqbal",,,"IOOP BSFT-3C
Madiha Aslam (VF)","PFB BSBA-3A
Madiha Aslam (VF)",,"CV Lab BAI-7A
Muhammad Khalid",,
Academic Block I CY LAB-2 (48),"IT in Business lab BSFT-1B
Absar Khalid",,,"DBS Lab BCS-5J
Fatima Gado",,,Reserved for ACM Coders Cup 2025 Nov 20 ,,
Academic Block I LAB-3 (47),"PF Lab BCY-1B
Bushra Sattar",,,"Reserved for Mr Absar Khalid Nov 20 BSFT-1B IOOP
",,,"CV Lab BAI-7C
Mehak Mazhar",,
Academic Block I LAB-4 (46),"IT in Business lab BSFT-1D
 Danish Abbasi",,,Reserved for ACM Coders Cup 2025 Nov 20 ,,,"SSD Lab BCY-7B
Abuzar Zafar",,
Academic Block III LAB-5 (52),"ICT Lab BAI-1A
Mehak Mazhar",,,"SSD Lab BCY-7A
Abeer Gauher",,,,,
Academic Block II DS LAB-6 (52),"DBS Lab BAI-5A
Kinza Mushtaq",,,"ICT lab BSCE-1B + BSEE-1C
Engr. Zakir Hussain",,,"SCD Lab BSE-5A
Sameer Faisal",,
Academic Block II LAB-7 (45),"IOOP-Lab BSFT-3C
Qasim Alias",,,"Reserved for ACM Coders Cup 2025 Nov  20 
",,,"PFB lab BSBA-3A2
Ameer Hamza ",,
Academic Block II CY LAB-8 (49),"ICT Lab BCS-1C
Saira Ayub",,,Reserved for ACM Coders Cup 2025 Nov  20 ,,,"BE Lab BSBA-5A
 Nighat Jahan",,
Academic Block II AI/ML LAB-9 (47),"PFB lab BSBA-3A1
Ameer Hamza ",,,Reserved for ACM Coders Cup 2025 Nov  20 ,,, Reserved for Mr Nadeem CN Lab Final Examination Dec 04,,
Academic Block II LAB-10 (44),"ML BSE-5A
Minhal Raza",,,"AML Lab BSEE-7AB
Engr. Sadaf Ayesha",,,"ICT Lab BCS-1K
Syeda Tehreem Gillani",,
Academic Block II LAB-11 (46),Reserved for Mr Ghulam Qadir BSCE-1A Nov 20,,,"Object Oriented Data Structures lab BSEE-3B
Engr. Rukhsar Ali",,,,,
Academic Block II Lab-12 (47),"OOP Lab BCS-3A
Muhammad Owais",,,"PF Lab BCS-1F
Sheeraz Iqbal",,,"ENA lab BSEE-3A
Engr. Bushra",,
Academic Block II Lab-13 (47),"PF Lab BAI-1B
Izzah Salam",,,"ICT Lab BAI-1C
Saqib Shah",,,"CN Lab BCS-5D
Muhammad Nadeem ",,
Academic Block II Lab-14 (43),"PF Lab BCY-1A
Sandesh Kumar",,,"PF Lab BCS-1G
Izzah Salam",,,"DLD Lab BCS-3A
Osama Tahir",,
ENGINEERING LABS,,,,,,,,,
Academic Block II Microprocessor and Interfacing Lab,,,,,,,"MPI lab BSEE-5AB
Engr. Zohaib Ahmed",,
Academic Block II Electronics Lab,,,,,,,"ENA lab BSEE-3A
Engr. Bushra",,
Academic Block II Engineering Workshop Lab,,,,,,,,,
Academic Block II Electromechanical Systems Lab,,,,,,,,,
Academic Block II Power Lab,,,,,,,,,
Academic Block II Physics Lab,"Applied Physics lab BSEE-1B
Engr. Zohaib AHmed",,,,,,"Applied Physics lab BSCE-1B + BSEE-1C
Engr. Mariam",,
