TUESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
A-1 Academic Block II (50),,"CS4048-Data Sci. BCS-6B  (F,G,H,J)
Dr. Rabia Tabassum",,"CS2012-TBW BCS-6H
Nazia Imam","CS3014-AHCI BCS-6H
Asif Fazwani (VF)","AI2002-AI BCS-6J
Usama Antuley","AI2002-AI BCS-6J
Usama Antuley",,
A-2Academic Block II (50),"CS2012-TBW BCS-6D
Mariam Aftab","CS4045-DLP BCS-6B
Dr. Jawwad Shamsi","CS3014-AHCI BCS-6D
Kashan Hussain",,"CS3009-SE BCS-6D
Shaheer Ahmed","CS2005-DBS BSE-4B
Dr. Anam Qureshi",,"CS2012-TBW BCS-6E
Nazia Imam","AI2002-AI BCS-6E
Alina Arshad"
A-3 Academic Block II (50),,,,,,,,,
A-4 Academic Block II (50),,"CS4068-NPS BCS-6B
Shoaib Raza","CS3014-AHCI BCS-6J
Asif Fazwani (VF)","CS3014-AHCI BCS-6J
Asif Fazwani (VF)",,"CS3014-AHCI BCS-6B
Kashan Hussain",,"CS2012-TBW BCS-6C
Madiha Rehman","AI2002-AI BCS-6C
Javeria Farooq"
A-5 Academic Block II (50),"CS2005-DBS BAI-4A
Mehak Mazhar","SE3003-WE BSE-6B
Ali Fatmi","CS2006-OS BCS-4K
Anaum Hamid","CS3014-AHCI BCS-6F
Kashan Hussain","CS3009-SE BCS-6F
Engr. Abdul Rahman","AI2002-AI BCS-6G
Javeria Farooq","CS3014-AHCI BCS-6G
Jibran Rasheed Khan","AI2002-AI BCS-6G
Javeria Farooq","AI2002-AI BCS-6B
Usama Antuley"
A-6 Academic Block II (50),"CS2012-TBW BCS-6A
Nazia Imam","CY4046-EHTT  BCY-6B
Abuzar Zafar",,"CS3009-SE BCS-6G
Sobia Iftikhar","CS3009-SE BCS-6A
Sobia Iftikhar","AI2002-AI BCS-4G
Anaum Hamid",,"EE1005-DLD BCS-2G
Javed Qureshi","EE1005-DLD BCS-2G
Javed Qureshi "
A-7 Academic Block II (50),"CY4001-SSD BCY-6A
Ali Naseer Shah","CS4045-DLP BAI-6A
Dr. Kamran Ali","AI2002-AI BCS-6H
Syed Faisal Ali","DSB BSBA-6A
Muhammad Khalid","MT1008-MVC BSE-2A
Jamil Usmani","SE 2002-SDA BSE-4A
Rubab Manzar",,,"MT1008-MVC BSE-2B
Jamil Usmani"
A-8 Academic Block II (53),"CT BSFT-4B
Faiza Iqbal ","CT BSFT-4C
Faiza Iqbal ",,"BS BSBA-8A
Michael Simon "," PA BSBA-8A
Dr. Mushtaq Ahmed ","PST  BSFT-4A
Dr. Shahnawaz Khan",,"BMII BSBA-4A
Aneesa Nawaz",
B-9 Academic Block II (53),"PST  BSFT-4C
Dr. Shahnawaz Khan","PB BSFT-2B
 Madiha Aslam ","PB BSFT-2B
 Madiha Aslam ","ESSB BSBA-4A
Dr. Nazia Nazeer ","ESSB BSFT-4B
Dr. Nazia Nazeer ","IDB BSFT-4B
Magdalene Gloria","ESSB BSFT-4C
Dr. Nazia Nazeer ","IDB BSFT-4A
Muhammad Khalid ","CT BSFT-4A
Faiza Iqbal "
B-10 Academic Block II (53),,,"BF BSBA-4A
 Jahangir Tanveer","DAB-II BSFT-4C
 Zehra Mukhtiar ","DAB-II BSFT-4A
 Jahangir Tanveer","IDB BSFT-4C
Sindhu  ","FBA BSBA-4A
 Jahangir Tanveer","IDB BSFT-4C
Sindhu  ",
