WEDNESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
B-10 Academic Block II (53),"UoS BSFT-1A
Dr. Shahzad Shaikh","UoS BSBA-1A
Dr. Shahzad Shaikh","BM1 BSFT-1E
Rabia Sagheer","Entrep BAI-7B
Jahangir","Psych BCS-7A
Kauser Malik","FOM BSBA-1A
Dr. Nazia Nazeer","BM1 BSBA-1A
Rabia Sagheer","FOA BSFT-1D
 Zehra",
B-11 Academic Block II (53),,"DS BCS-3B
Fizza Aqeel","COAL BCS-3G
Dr. Shakil","Entrep BAI-7C
 Michael Simon","DS BCS-3H
Fizza Aqeel",,"FOA BSFT-1C
Muhammad Ahsan","MM BSFT-1C
Aleena Fayyaz","FOM BSBA-1B
Dr. Nazia Nazeer"
C-12 Academic Block II (50),DCNet BSEE-5A                                       Engr. Zakir Hussain,EDC BSEE-3B Engr. Muhammad Ahsan Khan,EDC BSEE-3A Engr. Muhammad Ahsan Khan,DSA BSEE-5AB Engr. Asim Mehmood,EDC BSEE-3C Engr. Muhammad Ahsan Khan,"CB BSBA-5A
Umar Farooque 
",UoS BSCE-1A Dr. Shahzad Shaikh,UoS BSCE-1B + BSEE-1C Dr. Shahzad Shaikh,
C-13 Academic Block II (50),PST BSEE-3A                                            Ms. Aliya Zahid Bhatti,PST BSEE-3A                                            Ms. Aliya Zahid Bhatti,MPI BSEE-5AB Engr. Haris Mohsin,PF BSEE-3AB Engr. Haris Mohsin,DCNet BSEE-5A                                       Engr. Zakir Hussain,,MPI BSEE-5AB Engr. Haris Mohsin,AC BSEE-1B Engr. Aamir Ali,AC BSEE-1B Engr. Aamir Ali
C-14 Academic Block II (50),"SDA BCS-5C
Shaikh Umair (Visiting)",,OODS BSEE-3B                                                 Dr. Burhan Khan,EM BSEE-7AB Dr. Burhan Khan,EM BSEE-7AB Dr. Burhan Khan,CVT BSEE-3B Dr. Haider Mehdi,CVT BSEE-3A Dr. Haider Mehdi,CVT BSEE-3A Dr. Haider Mehdi,
C-15 Academic Block II (50),,AT BSEE-5AB Engr. Rukhsar Ali,"IST BSFT-1B
Muhammad Hasham","DLD BCS-3A
Dr. Rabia Tabassum ",ICT BSCE-1A Engr. Asim Mehmood,ICT BSCE-1A Engr. Asim Mehmood,ICT BSCE-1B + BSEE-1C Engr. Asim Mehmood,,
C-16 Academic Block II (50),,"Discrete BCS-3H
Dr. Ghufran Ahmed","DBS BAI-5A
Huzaifa Khan (VF)","IS BCS-7C
Yusra Kaleem","DCB BSBA-7A
Dr. Mushtaq Ahmed","MM BSFT-1A
Asiya Zaheer",,"DS BAI-3A
Sania Urooj","DS BCS-3G
Sania Urooj"
C-17 Academic Block II (59),"FM BSBA-5A
Muhammad Ahsan","HRM BSBA-5A 
Dr. Nazia Nazeer ","BE BSBA-5A
Dr. Mushtaq Ahmed","GT BCS-5A (A-E)
Moheez-UR-Rahim","FOA BSFT-1A
Muhammad Ahsan","FSPM BSE-7B
Minhal Raza",AC BSEE-1A                                                 Engr. Qurat ul Ain,"Reserved for Ms Quratulain Sohail
Nov 19 AC BSEE-1A  ",
C-18 Academic Block II (50),,"IS BCS-7L
Usama Antuley","IS BCS-7D
Usama Antuley","KKR BAI-5A
Muhammad Rafi","GT BCS-5B (F-J)
Moheez-UR-Rahim",,"BF BSFT-3C
Jahangir",,
C-19 Academic Block II (50),,"IS BCY-5A
Nouman Rajput","DAA BCS-5E
Muhammad Kashif","WP BCS-5A (A-E)
Ali Fatmi","WP BCS-5B (F-J)
Ali Fatmi",,"DS&BA BSBA-5A
Mohsin Javaid ","DS&BA BSBA-5A
Mohsin Javaid ","DS&BA BSBA-5A
Mohsin Javaid "
